,,DETALĖ,I,P,,,BRIAUNOS,,Q,,,T,,,,,,,,,,,,
1,COFFEE TABLE,VIRŠUS,1219,550,,,4s,,,,,,,,,,,-,,,,,,
2,,KOJARYŠIS,1163,260,,,4p,,,↑,R,,,,,,+,,,,,,,
3,,KOJOS,364,543,,,pt 2si stj,,,↑,R,,,,,,+,,,,,,,
4,END TABLE,VIRŠUS,557,550,,,4s,,1,↓,Ž,,,,,,,-,,,,,,
5,,VIRŠUS,1219,550,,,4s,,1,↓,Ž,,,,,,,-,,,,,,
6,,KOJARYŠIS,260,500,,,4p,,2,↑,R,,?,,,,+,,,,,,,
7,,KOJOS,364,543,,,pt 2si stj,,2,↑,R,,,,,,+,,,,,,,
8,,KOJOS,497,543,,,pi 2st sij,,2,↑,R,,,,,,+,,,,,,,
9,,MODESTY,260,1163,,,4p,,1,↑,R,,,,,,+,,,,,,,
10,"RETURN
BRIDGE",STALVIRŠIS,1066,606,,,4s,,,↓,Ž,,-F,,,,,-,,,,,,
11,,MODESTY,709,1038,,,pi 2st sij,,,↑,R,,,,,,+,,,,,,,
12,,STALVIRŠIS,1219,606,,,4s,,,↓,Ž,↺,-F,,,,,-,,,,,,
13,,MODESTY,709,1191,,,pi 2st sij,,,↓,Ž,,,,,,+,,,,,,,
14,,STALVIRŠIS,1219,600,,,4s,,,↓,Ž,,-F,,,,,-,,,,,,
15,,MODESTY,709,1223,,,pi 2st sij,,,↓,Ž,,,,,,+,,,,,,,
16,"RETURN
BRIDGE",STALVIRŠIS,1060,600,,,4s,,,↑,R,↺,-F,,,,,-,,,,,,
17,,MODESTY,709,1064,,,pi 2st sij,,,↓,Ž,,,,,,+,,,,,,,
18,,STALVIRŠIS,1000,508,,,4s,,,↑,R,↺,,,,,,-,,,,,,
19,,KOJOS,709,972,,,pi 2st sij,,,↓,Ž,,,,,,+,,,,,,,
20,,KOJOS,709,501,,,pt 2si sij,,,↑,R,,,,,,+,,,,,,,
21,,STALVIRŠIS,904,600,,,4s,,,↓,Ž,,,,,,,-,,,,,,
22,,STANDUMAS,709,908,,,pi 2st sij,,,↓,Ž,,,,,,+,,,,,,,
23,STALAI,STALVIRŠIS,1219,600,,,4s,,,↓,Ž,,-F,,,,,-,,,,,,
24,,STALVIRŠIS,1797,600,,,4s,,,↓,Ž,,,,,,,-,,,,,,
25,,STALVIRŠIS,1676,600,,,4s,,,↓,Ž,,,,,,,-,,,,,,
26,,STALVIRŠIS,1524,760,,,4s,,,↓,Ž,,,,,,,-,,,,,,
27,,STALVIRŠIS,1676,760,,,4s,,,↓,Ž,,,,,,,-,,,,,,
28,,STALVIRŠIS,1219,760,,,4s,,,↓,Ž,,,,,,,-,,,,,,
29,,STALVIRŠIS,7,904,,,4s,,,↓,Ž,,,,,,,-,,,,,,
30,,STANDUMAS,711,1622,713,1622,4p,,,↑,R,,,,,,+,,,,,,,
31,,STANDUMAS,711,1468,713,1470,4p,,,↑,R,,,,,,+,,,,,,,
32,,STANDUMAS,711,1741,713,1743,4p,,,↑,R,,,,,,+,,,,,,,
33,,STANDUMAS,711,1163,713,1165,4p,,,↑,R,,,,,,+,,,,,,,
34,KOJOS,KOJOS,709,593,711,595,pt 2si sij,,,↑,R,,,,,,+,,,,,,,
35,,KOJOS,709,753,711,755,pi 2st sij,,,↑,R,,,,,,+,,,,,,,
,,KOJOS,709,871,711,873,pi pt st sij,,,↑,R,,,,,,+,,corner,,,,,
36,,KOJOS,709,897,711,899,pi 2st sij,,,↑,R,,,,,,+,,,,,,,
37,,KOJOS,709,508,711,510,pt 2si sij,,,↑,R,,,,,,+,,,,,,,
38,OPEN HUTCH,VIRŠUS,870,402,,,pi 3s,,1,↓,Ž,,,,,,+,,,,,,,
39,,ŠONELIAI,987,400,,,pt pi si stj,,2,↑,R,,,,,,+,,,,,,,
40,,NUGARA,815,474,,,4p,,,↑,R,,,,,,+,,,,,,,
41,,LENTYNA,815,364,,,3p si-x,,,↑,R,,,,,,+,,,,,total length of banding,#,
42,HUTCH,VIRŠUS,1797,402,1799,404,pi 3s,,1,↓,Ž,,,,,,+,,85,85,1,1797,1,1.53
43,,LENTYNA,1741,364,,,3p si-x,,1,↑,R,,,,,,+,,85,85,3,2469,4,6.30
44,,NUGARA,1741,,,,4p,,2,↑,R,,,,,,+,,85,170,4,4210,5,28.63
45,,PLINTUSAS,1741,80,,,pi si,,1,↑,R,,,,,,+,,85,85,2,3482,3,5.92
46,,ŠONELIS,987,400,,,pt pi si stj,,2,↑,R,,,,,,+,,85,170,2,1387,2,4.72
47,,DIVIDER,364,,,,3p st,,,↑,R,,,,,,+,,85,0,4,728,,
